job_role,Requisition id,Location,job_description
,,,
"Director, Artificial Intelligence Platform",  R-82745,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Director, Artificial Intelligence Platform,Mastercard is embarking a journey to build an enterprise Artificial Intelligence Platform. AI will be leveraged and implemented at scale within Mastercard providing a foundational, competitive advantage for the future. All internal processes, all products and services will be enabled by AI continuously advancing our value proposition, consumer experience, and efficiency,Role,• Obsess about an industry best Artificial Intelligence Platform, it’s support and the long term vision of building a scalable, secure, resilient and highly available ecosystem in line with Mastercard standards,• Responsible for end to end build, test and deployment of the platform integrating with various internal systems, new tools and data sources, both real time transactional and warehouse data.,• Provide inputs for making decisions on buy vs build,• Hire, train, retain talent and provide the right people leadership to manage an engaged team of architects, senior developers and junior developers,• Collaborate across multiple organizations like technical operations, product teams, data scientists, quality engineering to get things done.,• Ensure all AI solution development is in line with industry standards for data management and privacy compliance including the collection, use, storage, access, retention, output, reporting, and quality of data at Mastercard,• Adopt a pragmatic approach to AI, capable of articulating complex technical requirements in a manner this is simple and relevant to stakeholder use cases,• Set development and data governance processes while implementing highly matured level of automation to  accelerate the  build to deploy/ serve cycle,• Support a learning culture continuously advancing AI capabilities,All About You,• Very strong leadership capability to drive cross functional teams and deliver results,• Strong decision making capabilities and ability to influence decisions at senior leadership levels,• Understanding of the best of the breed solutions on Artificial Intelligence and prior experience in integrating commercial products and solutions to scale,• Understanding of the tools, methodologies and languages used to develop AI models and serve them across various business units.,• Prior experience leading and developing high performing teams with an emphasis on execution and through-put,• Proven track record of developing and implementing AI strategies at scale, solving identified business problems and achieving optimization in the product development and management lifecycle in addition to operational efficiencies,• Demonstrated leader capable of executing the AI agenda while managing complex variables including Information and Data Governance, Data Management, Information Security, Privacy & Compliance, Content Life cycle Management, and Records Retention Demonstrated ability to deliver high quality AI solutions in a matrix organization, thinking out of the box and solving hard problems while navigating through ambiguity,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-82745"
,,,
"Analyst, Business Continuity Planning",  R-82200,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Analyst, Business Continuity Planning,Overview,• Business Continuity (BC) at MasterCard is responsible for maintaining and enhancing operational resiliency through the development of plans and processes that address prevention, preparedness, response, and recovery.,• Collaborate with global business partners to plan, implement, maintain and administer the Business Continuity framework for MasterCard.,• Maintain the integrity of the MasterCard Business Continuity Program to remain “Best in Class”.,• Test and evaluate global MasterCard Business Continuity practices.,• Are you a conceptual thinker who can easily understand business concepts and effectively share them with all staff levels?,• Would you enjoy coaching individuals to help them build strong business continuity plans that are executable during an event?,• Does analyzing data and being able to draw conclusions from that data interest you?,Role,• Ensures compliance with the annual obligations (“cycles”) of the BC Program (Business Impact Analyses, Recovery Plans, Evaluations and Exercises).,• Conducts annual reviews of Business Recovery plans against company BC program standards,• Promotes, educates, and communicates BC Program requirements,• Assists development of BC training materials and conducts training through a variety of delivery mechanisms,• In the event of an unplanned business disruption, assists in the execution of plans and works closely with department liaisons, senior leadership and support teams to ensure a successful recovery.,• Monitors, tracks and provides BC key metrics and statistics for management,• This position requires some non-standard work hours to support global needs and on-call requirements to support an actual event,All About You,• Strong analytic background with the ability to spot deficiencies in plans and internal processes,• Strong influencing and negotiating skills,• Self-starter with the ability to work independently and with remote management/supervision,• Ability to collaborate with all levels of management and staff,• Skilled at working with MS Office suite (Excel, Word, PowerPoint),• Ability to learn and utilize special BC database software (Fusion experience a plus),• Comfortable handling complex projects and multiple assignments,• Previous experience with and knowledge of with Business Continuity concepts preferred,• Occasional travel may be required,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-82200"
,,,
Consultant,  R-82101,"Gurgaon, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant,MasterCard Advisors, the professional services arm of MasterCard Worldwide, provides payments-focused consulting services (including business strategy, proposition & operating model design, performance optimisation, marketing, information and risk management) to financial institutions and merchants worldwide.,With its unique payments expertise, deep understanding of customer needs and successful track record in addressing complex challenges throughout the payments lifecycle, MasterCard Advisors has established a strong track record of successfully addressing the challenges and opportunities of its clients.,Drawing from the success of its consulting services, Mastercard Advisors is establishing teams in multiple global centers to provide high quality and scalable consulting for international clients across verticals in an efficient, consistent & profitable manner. Working with colleagues and clients locally and in-market, this team will systematically leverage our extensive experience to create and deliver powerful consulting-lead solutions & standard methodologies which generate high client impact and improved profitability.,• Do you want to gain exposure to a wide variety of different clients in the payments ecosystem?,• Would you enjoy problem solving some of the largest challenges faced by clients?,• Do you have the experience, drive, and personality to be successful in the rewarding role as a consultant to some of the industry’s leading companies?,• Are you motivated by working in new consulting models, leading to insights into issues and developing recommendations that add real value to clients?,Role,The Consultant will be part of the global team who will actively contribute to delivering consulting projects for MasterCard Advisors clients.,• Project Management & Delivery,o Contribute towards the delivery of solutions, development of strategies and programs for large, strategically important global clients from a central delivery hub in India,o Obtain data from multiple sources, collate, analyse and triangulate information to develop reliable fact bases and reports as per the defined methodologies,o Apply a range of quantitative and qualitative analytical techniques to rigorously identify client issues and synthesise the analysis into clear, sound recommendations,o Structure and prepare draft reports and client steering committee presentations that require minimal editing,• Team & Stakeholder Management,o Plan, organize and structure own work to manage time and effort effectively within project budget / profitability expectations,o Present draft reports to key stakeholders for review and feedback,• Configurable Solution Development & Knowledge Management,o Efficiently leverage intellectual capital from engagement work to create reusable knowledge assets and actively develop and share tools, methods and best practices across projects,o Build network of contacts and internal relationships across MasterCard to support information gathering and data analysis,All About You,We are looking for dynamic, self-starter and highly motivated individuals who would like to work in an intellectually & professionally challenging environment and can contribute to building up a new practice.,• Advanced degree or MBA from Tier-1 colleges with strong academic record,• Demonstrable consulting or equivalent business management experience or internal consulting experience in a major financial institution,o Strategy consulting in FS/ banking/ payments or consumer-oriented industries desirable,o About 2 years post-MBA consulting experience with a Tier 1 strategy consulting firm or 3-4 years of post-MBA consulting experience with Big 4,• Strong analytical, interpretive and problem solving skills, including the ability to interpret large amounts of data, some of it ambiguous, and translate it into concise rational output and recommendations,• Strong interpersonal & communication skills (both verbal & written),• Proven team player with ability to work effectively with people at all levels in a highly intellectual, collaborative, and fast paced environment,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-82101"
,,,
"Associate Analyst, Network Operations 9B",  R-79797,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Associate Analyst, Network Operations 9B,Overview,• Operate as a direct point of contact to liaise between the Operations Command Center (OCC), regional support teams, and all Mastercard Operations and Technology (O&T) support teams to drive operational excellence for OCC leadership and personnel.,• Provide project management and representation for the OCC by identifying  requirements, reviewing and signing off on Operational Criteria, coordinating User Acceptance Testing (UAT),,• Developing, coordinating, and facilitating training tailored to meet the specific needs of the OCC.,• Review current monitoring and alerting toolset used in the OCC to identify gaps and consult with core support teams to identify and drive solutions.,• Process Improvement/development,• Identify and implement automation opportunities.,• Drive adoption of all processes, implementing version control on all documentation, and providing consistent communications to the OCC.,• Drive operational alignment between O&T and Mastercard Business units through the development of processes, documentation, and training.,• Have you worked in a functional project management team?,• Do you like to come up with solutions to tough problems?,• Do you enjoy finding and implementing process improvements?,• Do you have strong analytical skills?,Role,• Identify gaps in current tool functionality, procedures, and training used in the Mastercard Operations Command Center (OCC) in support of daily operations.,• Perform Project management and representation on behalf of the OCC.,• Consult with support teams to identify and implement automation opportunities and tool enhancements,• Develop documentation and deliver training to OCC personnel to drive efficiency in the operations environment.,• Provide Incident Management oversight for the all of Mastercard, by performing daily/weekly/monthly quality auditing, metrics reporting & communication.,• Collaborate with business units in order to transition support services to the OCC,•  Develop, analyze, and present metrics to measure efficiencies for various environments within Mastercard.,• Partner with the OCC, support teams, business teams, and key stakeholders.,• Drive Incident Management for all of Mastercard including monthly audits, creating reports, trend identification/communication.,All about You,• Bachelor’s Degree or equivalent work experience.,• Advanced knowledge of at least one of the following 5 areas in the OCC (UNIX, Mainframe, Production Control, Debit, Network),• General understanding of the areas in the OCC (UNIX, Mainframe, Production Control, Debit, Network), and is a subject matter expert in one of the two fOCCus groups in the OCC (Transactions Processing, File Transfer). Along with a holistic understanding of how all the pieces of the OCC fit together.,• Basic Authorization concepts,• Project management,• ITIL Experience, with emphasis on Incident/Problem/Change Management,• Strong problem solving skills.,• Excellent written and verbal communication skills while multi-tasking in a fast paced environment,• Effective organization skills,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-79797"
,,,
"Sr. Engineer, Software Engineering in Test, Mastercard Connect"," , ,  R-81017","Vadodara, IND"," ,We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives. We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities., ,Sr. Engineer, Software Engineering in Test, Mastercard Connect,Overview,• Are you an experienced software professional who is passionate about innovative technology and its potential to help create a world beyond cash?,• Can you plan test strategy and acceptance criteria keeping end customer needs – functional, non-functional, and user experience - in mind?,• Love being hands on and can write code to break software as part of ensuring highest software quality and stability?,• Do you have a motivation to drive quality automation and self-service culture as a part of software delivery practices?,• Can you scale your communication at all levels starting from engineers to program managers to product managers?,The Mastercard Connect team is looking for a high-energy, detail-oriented Software engineer in Test to help advance the Connect experience for both our customers and our internal users. This is an exciting opportunity in a fast-paced, rewarding environment.,Role,• Build (and test) all new cloud-ready code using Java, Angular, Spring Boot, and other technologies,• Introduces new technologies, recommends new platforms/libraries.,• Good at design principles such as DRY, Single Responsibility, SOLID,• Play a crucial part in driving Quality to help build and ship better products.,Collaborate with our development teams to enhance our existing software development processes,• Involved in training and mentoring developers in QE methodologies, and helping them to build high quality software,• Partner with developers and test engineers to improve and automate test and release processes,Help make Quality as an integral part of the development process,Play the role of a mentor and coach to drive Quality,• Fluent in 2 or more languages and conversant in 3-4 more (including JavaScript libraries, DSL, etc...),• Ability to implement IoC, Dependency Injection,• Builds reusable frameworks,• Drives measurable improvements in the maintenance, operational and runtime characteristics of your team’s software.,• Provides feedback on peer design and code includes optimization and simplification recommendations.,• Difficult architecture and business problems. Solutions are extensible. Outlines and takes opportunity to optimize, simplify, de-bottleneck,• Improves the interfaces and integrations with related teams.,• Develops solutions that successfully launch software or resolve architecture deficiencies. May require multiple developers.,• Leads projects to improve engineering, test and operations.,• Comprehensive knowledge of team architecture. Makes trade-offs between short terms and long-term needs.,• Troubleshoots problems, defines root cause and permanently corrects within application and dependent systems.,• The Consultant/Sr. Engineer/Engineer in Test is a hands-on senior developer who is experienced with Java, Angular, REST API and Jenkins, using Cloud technologies.,• You will be responsible for developing and running micro services,• Working within an Agile development methodology, you will collaborate with other engineers and tech leads to deliver an exceptional user experience to our customers.,• In addition, you'll have the opportunity to work with new frameworks and technologies, assist with prototyping and proof-of-concepts, participate in code reviews, and help ensure a high level of code quality from the team.,• Create proof of concept applications,• Help maintain code quality, organization, and automation,• Ensure adherence to established quality control practices and software development processes,All About You,• Effectively communicate across all levels of a project team to drive quality practices,• Participated in Agile/DevOps teams and understand the concepts and ceremonies they follow and use of Agile tools such as RALLY and ALM.,• Experience using Agile frameworks (Test Driven Development/Behavior Driven Development),• Capable of contributing back to the Quality Engineering community based on enhancements and new capabilities regarding quality practices,• Adept in CI/CD practices and implementation (Jenkins),• Adept developing in,• Skilled in debugging techniques to quickly identify root cause issues within your applications and their dependencies,• Experience of working with other developers to ensure that systems are designed for reliability, performance and testability,• Knowledge of design patterns and can coach at all levels regarding their use and practices,• Working knowledge and experience in developing and debugging maven build configurations,• Well versed in the use of Page Object modeling,• Skilled in utilizing CSS and Xpath based locators,• Experience automating web/native apps across varying platforms (Android and iOS a must),• Understanding of how localization and internationalization affects web and native apps,• Effective skill leveraging SOAP and Rest services programmatically via Java,• Experience in Cloud/micro-services.,• Experience in Integration testing needs with exposure to data virtualization tools.,• Participate in PoCs (Proof of Concept) and help the Department with selection of Vendor Solutions, Technologies, Methodologies and Frameworks.,Key Technology Focus Areas,Java, REST API, Pivotal Cloud Foundry, Jenkins, Angular, Swagger, Git,Ability to quickly learn and implement new technologies, frameworks and tools and support multiple concurrent activities,Education,• Bachelor's degree in Information Systems, Information Technology, Computer Science or Engineering or equivalent experience., ,   ,   , ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-81017"
,,,
"Consultant, Product Manager-Technical",  R-80201,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Product Manager-Technical,OVERVIEW,Are you a product management professional who wants to shape the cloud platform for Mastercard’s products? Do you want to work for a company that offers above and beyond benefits including paid parental leave, flexible work hours, gift matching, and even volunteer incentives?  Do you want to work in an inclusive and nurturing culture that encourages your own professional learning and development?,ROLE,We are looking for seasoned Product Management professionals to join our team and help us build towards the future. Product Management-Technical (PM-T) are technical roles and work closely with Technical Program Managers, Software Design Engineers, User Experience, and internal customers to define the details behind the business requirements, the specifications, the user experience, and the API strategy for platform building blocks they own.  Our PM-Ts use the Working Backwards process, which is all about is fleshing out the concept and achieving clarity of thought about what will ultimately be built.  PM-Ts decompose the requirements into user stories, prioritizing the backlog, and defining the acceptance criteria.  PM-Ts are in it for the long term, looking beyond the current project to become experts in their domain.  They feed engineering a well groomed and backlog of user stories.  They encourage re-use of their building blocks, continuously innovating on behalf of internal and external customers.  As new capabilities are required, they will define its place in the platform ecosystem and write / prioritize the user stories to build the new block. When commercialization opportunities are identified for their building blocks, they will tee up ideas to the product development teams for further development.,ALL ABOUT YOU:,• Like to dive deep into the operational characteristics of the product,• Demonstrated ability to operate with complete independence and autonomy,• Experience defining and building cloud-native software products as a platform at scale,• Proven track record of data driven decision making and applying continuous improvement methodologies across your team,• Can debate the product merits with business teams, architects, engineers, and designers to make the right trade-off decisions,• Experience in agile delivery methodologies (scrum, Kanban, etc.),• Can communicate to executives, peers, and staff with impact, eloquence, and authenticity,• Ensures features and associated documentation are clear and easily consumable by other engineering teams.,• Demonstrated experience building organizational relationships, partnering with and influencing teams while commanding the respect of the individuals on the team,• Payments expertise a huge plus,• BS/MBA in related discipline.,• Product development experience,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-80201"
,,,
Security Analyst  - Web and Mobile Penetration Testing,  R-82784,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Security Analyst  - Web and Mobile Penetration Testing,Overview,• Identify, test, and report security weaknesses in systems and applications,• Oversees governance and compliance of vulnerability remediation enterprise wide,Responsibilities,• Participate in initiatives as an experienced individual contributor with specialized knowledge within assigned discipline,• Responsible for creating technical or business documentation for the project team,• Supports Senior Analyst on projects where the team is required to implement,• Effective communication skills with project teams and business partners,• Responsible for understanding security policies and industry best practices & compliance,• Responds and completes vulnerability management business as usual activities as defined by their job responsibilities,Experiences,• Experience working in Corporate Security, specifically in the vulnerability management field,• Experience working in vulnerability management systems, including network security testing or web/mobile security testing,• Experience participating on initiatives,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-82784"
,,,
Site Reliability Engineer (BizOps),  R-82782,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Site Reliability Engineer (BizOps),Job Description:,The Business Operations team is looking for someone who aspires to be a Site Reliability Engineer,Business Operations is leading the DevOps transformation at Mastercard through our tooling and by being an advocate for change & standards throughout the development, quality, release, and product organizations.  We need team members with an appetite for change and pushing the boundaries of what can be done with automation.  Experience in working across development, and operations to prioritize needs and to build relationships is a must.,Mission:,The role of business operations is to be the production readiness steward for the platform.  This is accomplished by closely partnering with developers to design, build, implement, and support technology services.  A business operations engineer will ensure operational criteria like system availability, capacity, performance, monitoring, self-healing, and deployment automation are implemented throughout the delivery process. Business Operations plays a key role in leading the DevOps transformation at Mastercard through our tooling and by being an advocate for change and standards throughout the development, quality, release, and product organizations.,We accomplish this transformation through supporting daily operations with a hyper focus on triage and then root cause by understanding the business impact of our products.  The goal of every biz ops team is to shift left to be more proactive and upfront in the development process, and to proactively manage production and change activities to maximize customer experience, and increase the overall value of supported applications.  Biz Ops teams also focus on risk management by tying all our activities together with an overarching responsibility for compliance and risk mitigation across all our environments.  A biz ops focus is also on streamlining and standardizing traditional application specific support activities and centralizing points of interaction for both internal and external partners by communicating effectively with all key stakeholders.,Ultimately, the role of biz ops is to align Product and Customer Focused priorities with Operational needs. We regularly review our run state not only from an internal perspective, but also understanding and providing the feedback loop to our development partners on how we can improve the customer experience of our applications.,Responsibilities:,•    Engage in and improve the whole lifecycle of services—from inception and design, through deployment, operation and refinement.,•    Analyze ITSM activities of the platform and provide feedback loop to development teams on operational gaps or resiliency concerns,•    Support services before they go live through activities such as system design consulting, capacity planning and launch reviews.,•    Maintain services once they are live by measuring and monitoring availability, latency and overall system health.,•    Scale systems sustainably through mechanisms like automation, and evolve systems by pushing for changes that improve reliability and velocity.,•    Practice sustainable incident response and blameless postmortems.,•    Take a holistic approach to problem solving, by connecting the dots during a production event thru the various technology stack that makes up the platform, to optimize mean time to recover,•    Work with a global team spread across tech hubs in multiple geographies and time zones,•    Share knowledge and mentor junior resources,Qualifications,•    Systematic problem-solving approach, coupled with strong communication skills and a sense of ownership and drive.,•    We support many different stakeholders. Experience in dealing with difficult situations and making decisions with a sense of urgency is needed.,•    Interest in designing, analyzing and troubleshooting large-scale distributed systems.,•    We need team members with an appetite for change and pushing the boundaries of what can be done with automation.,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-82782"
,,,
"Full Stack Engineer [ Java, Spring, Javascript, AngularJs / ReactJs ]",  R-83327,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Full Stack Engineer [ Java, Spring, Javascript, AngularJs / ReactJs ],Overview,Labs as a Service is the innovation arm of Mastercard Advisors, Mastercard’s global consulting group. Labs as a Service is responsible for driving innovation with our Global clients including rapid prototyping, software piloting through to commercial product development.,Set up in 2014 Labs as a Service is a rapid prototyping and innovation design services team, working with MasterCard’s global customer base.,Role,MasterCard is looking for brilliant and passionate Full stack Engineer to join its R&D / innovation services team – Labs as a Service.,• In this role, you will be a key member of a highly agile team, working to build product pilots, in collaboration with global brands in commerce,• This is an opportunity to become part of a world class team, dynamically solving real world customer problems - delivering transformational product and service solutions – focused on trending topics and issues globally.,• This Piloting team will have a diverse focus both in terms of geography and variety of technology challenge,Ask yourself:,• Are you an passionate  Full stack engineer who loves to code?,• Can You own things! And get it done. Are you a problem solver.,• Are you great with people, a team player and believe in team work.,• Do you have a passion for innovation and have a high energy, can-do attitude and strong sense of ownership /desire to succeed?,All About You,•     5 to 8 years’ experience in Java and J2EE application development in a web environment,• Good experience in Core java - collections, streams. J2EE concepts like filters and interceptors. etc, Design patterns, Spring, Spring Boot, Spring data JPA, Spring Rest, Maven /Gradle.,• Good Knowledge and experience in RDBMS Oracle/ PostgreSQL or SQL Server,• Experience in HTML5, JavaScript, and CSS development,• Experience in Emerging UI technologies React/React Native, Angular, VUE or any other emerging UI framework is highly desirable,• Object Oriented Analysis & Design,• Experience with multi-tier (App / Web / DB) server architecture,• Exposure of CI/CD process is add-on,• Experience in REST APIs development/implementation,• Experience working with cross team / overseas offices,• Fine experience and exposure to software design principles and methodologies,• Proficient understanding of code versioning tools, such as {{Git / Mercurial / SVN}},   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-83327"
,,,
Implementation Specialist(Experience in Project Management),  R-81578,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Implementation Specialist(Experience in Project Management),Overview,Customer Implementation Services (CIS) provides implementation of new and existing MasterCard electronic payment products and services.,As a CIS implementation manager, you will coordinate processing implementation projects of technical and non-technical nature. In a customer-facing environment, you will deliver standard and occasionally complex implementation projects, ensuring their quality and reliability by applying MasterCard project coordination methodology.,The focus of the work will be on infrastructure, connectivity, additional business, new products & services, supporting the MasterCard transaction processing growth in the Asia Pacific.,Role,• Managing multiple medium-sized project/initiatives as a Implementation Manager working through standard and complex projects, manage the technical quality of MasterCard's customer and their processor’s transaction processing host interfaces with MasterCard's processing networks,• Through discussion with customers, translates the needs into implementation activities, and guides customers with the established implementation procedures, standard specification and required documentation to provide end-to-end project execution throughout processing implementation projects.,• Drive customer processing implementation projects of electronic payments processing business activities following the global project coordination methodology,• Liaise and work with internal teams across the globe,All About You,• Previous experience within the Payments Industry and Loyalty program implementation is desired,• EMV/Contactless Hands-on Project Experience or Mobile Payment with understanding of OAuth protocol or any APIs that is used for authentication or authorization is a big plus,• Experience with MasterCard related projects in the past (dual-message/single-message) is preferred,• Your previous role included managing multiple complex/key project in a fast-ever changing environment,• Communicates well and clearly with internal teams & customers both on technical and the business on various levels of engagement through conference calls or emails or face to face meeting with customer,• You constantly provide and request input/feedback to make your work more efficient and improve the team's performance & processes overall,• You work well with other team members to support our customer during and after implementation phase,• You are highly motivated, enterprising team player,• Proficiency in Microsoft Excel, Word, PowerPoint, and MS Project desirable,Major Accountabilities:,• Provide end-to-end project execution throughout processing implementation projects.,• Assess and document customer needs and according implementation activities.,• Drive customer processing implementation projects of electronic payments processing business activities following the global project coordination methodology.,• Guide customers through applicable MasterCard processing rules, specification and documentation,• Identify appropriate processing implementation support documentation (contracts, agreements, forms etc…) to be provided by customers,,• Handle multiple customer processing implementation projects in parallel.,Education:,Bachelor’s degree in Information Technology, Computer Science, Exact Sciences, Business or equivalent work experience.,Knowledge / Experience:,• One to three years of “Information Technology” system knowledge, with basic understanding of network technology, applications, and project management.,• Understanding of payment transaction processing and industry business principles.,• Understanding of MasterCard’s payment processing systems, formats and associated customer host interface testing services and principles.,• Understanding of the 4 party model and the full transaction lifecycle for MasterCard brands,Skills/ Abilities:,• Ability to interact well with the customer,• Good verbal and written communication skills,• Self Starter with a desire to learn independently,• Good project management skills,• Ability to manage change in a technical work environment,• Ability to understand theory /principles and apply it in the environment,• Ability to work as a part of a cross functional team,This role is based in our Pune Technology Hub.,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-81578"
,,,
